Company,Market,Region,Sector,Credit rating impact,COUNTRY_RISK_MARKET_RETURN,COUNTRY_RISK_PREMIUM,COUNTRY_RISK_RFR,EPS_GROWTH,GROSS_MARGIN,IS_INT_EXPENSE,OPER_MARGIN,RISK_PREMIUM,UNLEVERED_BETA,WACC,WACC_COST_DEBT,WACC_COST_EQUITY,Total E,Total S,Total G,EAQ,EFM,EWT,EHZ,EIM,SCR,SCW,SLB,SEW,SIM,GEX,GGV,GST,GTR
Jacobs Inc,Developed Markets,DM - Americas,Utilities,0,10.5645,7.806,2.7585,-32.5991,61.9894,52.0,26.067,10.8784,2.5373,12.3864,2.1807,12.5623,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
Dixon-Spencer,Emerging Markets,EM - Asia,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,11,12,3,3,1,3,3,3,1,2,2,3,3,3,3,3
"Johnson, Hensley and Silva",Emerging Markets,EM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8792,0.0,0.0,0.0,0.0,13,11,12,3,3,1,3,3,3,1,2,2,3,3,3,3,3
Williamson LLC,Emerging Markets,EM - Asia,Services & Communications,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3382,0.0,6.9325,2.121,17.0592,9,10,12,1,3,1,1,3,1,3,3,1,2,3,3,3,3
"Shaw, Johnson and Lynch",Developed Markets,DM - Europe,Natural Resources,0,8.9464,7.2819,1.6646,0.0,0.0,0.0,0.0,9.0989,0.0,8.7784,0.9597,10.2344,13,12,12,3,3,3,3,1,2,1,3,3,3,3,3,3,3
Rios Ltd,Developed Markets,DM - Europe,Generic,1,13.3747,12.0966,1.278,,,14.2776,48.5968,13.3747,,3.8899,0.0035,13.3747,12,12,12,2,3,1,3,3,1,3,4,1,3,3,3,3,3
Gutierrez-Watts,Developed Markets,DM - Europe,Real Estate & Construction,0,10.4232,10.9944,-0.5712,0.0,0.0,0.0,0.0,15.8591,0.0,6.36,-0.2143,15.6241,9,12,12,1,1,1,3,3,1,3,3,2,3,3,3,3,3
"Miller, Shepard and Meza",Emerging Markets,EM - Asia,Industrials & Transportation,1,10.5264,2.501,8.0254,-18.3886,15.9139,611.308,10.7826,2.501,,8.5357,5.2104,10.5264,11,11,12,3,3,1,1,3,1,3,3,3,1,3,3,3,3
Guerra Ltd,Emerging Markets,EM - Americas,"Food, Beverage & Tobacco",1,11.2511,7.0413,4.2098,,19.7928,37.884,0.1151,9.7748,2.6437,8.8294,5.338,13.9846,10,13,12,1,2,2,3,2,3,3,3,1,3,3,3,3,3
"Davis, Warren and Joseph",Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,0.0,11.4064,0.0,0.3724,11.0635,0.0,8.5772,1.0287,12.2007,14,14,12,3,3,2,3,3,3,3,3,2,3,3,3,3,3
"Nguyen, Nelson and George",Emerging Markets,EM - Americas,Services & Communications,0,11.0541,4.1445,6.9095,-34.5116,42.138,540.4224,16.956,3.8412,0.3916,8.7327,6.6245,12.0862,7,9,12,1,3,1,1,1,1,3,3,1,1,3,3,3,3
Sampson-Roberson,Developed Markets,DM - Americas,Natural Resources,0,8.4018,6.4843,1.9175,0.0,7.1271,304.0,-1.9473,13.7741,0.0,7.2099,1.6215,14.9113,13,12,12,2,2,3,3,3,3,1,3,2,3,3,3,3,3
Christensen PLC,Developed Markets,DM - Europe,Natural Resources,1,13.2177,11.6446,1.5731,,20.169,127.8302,1.0121,8.8976,,5.5127,2.4252,10.4707,13,12,12,2,2,3,3,3,3,1,3,2,3,3,3,3,3
Taylor-Robinson,Developed Markets,DM - Americas,Natural Resources,0,8.4018,6.4843,1.9175,0.0,5.4321,67.494,-8.2009,7.7774,0.0,4.7967,1.7634,8.9146,13,12,12,3,3,3,3,1,2,1,3,3,3,3,3,3,3
"Cook, Horne and Ross",Emerging Markets,EM - Americas,Natural Resources,1,15.3874,6.1526,9.2348,-29.6339,19.9869,574.0386,14.3187,3.1571,0.3496,11.3588,10.3104,12.3919,13,12,14,3,3,3,3,1,2,1,3,3,3,3,4,3,4
"Thompson, Wade and Schwartz",Developed Markets,DM - Europe,Utilities,0,9.3834,8.5611,0.8224,-238.7387,0.0,130.6102,-131.5578,11.5651,0.0,6.1989,0.464,12.3611,14,14,12,3,3,2,3,3,3,3,3,2,3,3,3,3,3
Lloyd Ltd,Emerging Markets,EM - CEEMEA,Utilities,0,12.7281,0.0,0.0,428.9711,0.0,69.4416,100.7865,6.053,-0.6347,14.433,10.0957,14.6186,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3
Mendez LLC,Emerging Markets,EM - CEEMEA,Utilities,0,12.7281,0.0,0.0,428.9711,0.0,69.4416,100.7865,6.053,-0.6347,14.433,10.0957,14.6186,14,14,12,3,3,2,3,3,3,3,3,2,3,3,3,3,3
"Yoder, Lozano and Hart",Developed Markets,DM - Americas,Natural Resources,0,8.4018,6.4843,1.9175,13.4752,0.0,208.715,54.2582,8.8329,-0.0936,6.7454,0.7135,9.9734,13,12,12,2,2,3,3,3,3,1,3,2,3,3,3,3,3
"Rasmussen, Wright and Baker",Emerging Markets,EM - Americas,Natural Resources,1,15.3874,6.1526,9.2348,,21.8727,249.9807,11.9087,4.8247,0.0914,10.2921,9.8442,14.0595,15,12,13,3,3,3,3,3,3,1,3,2,3,3,4,3,3
Mccullough Group,Developed Markets,DM - Europe,Natural Resources,0,11.1513,10.1508,1.0004,0.0,0.0,0.0,0.0,12.1949,0.0,2.8072,0.8651,12.9909,13,12,12,2,2,3,3,3,3,1,3,2,3,3,3,3,3
Barber-Lewis,Developed Markets,DM - Americas,Natural Resources,0,8.6985,7.0075,1.691,0.0,0.0,0.0,0.0,10.7163,0.0,7.0281,1.2377,11.8551,13,11,12,3,3,1,3,3,3,1,2,2,3,3,3,3,3
Meadows LLC,Developed Markets,DM - Americas,Services & Communications,0,9.5828,7.2626,2.3202,0.0,0.0,0.0,0.0,5.9633,0.0,5.276,1.1981,7.1005,9,10,12,1,3,1,1,3,1,3,3,1,2,3,3,3,3
Johnson LLC,Emerging Markets,EM - Asia,Natural Resources,1,,,,90.5548,28.8223,307.4378,8.1687,3.0054,-0.8786,3.995,1.2015,4.9229,15,12,13,3,3,3,3,3,3,1,3,2,3,3,4,3,3
Castillo-Erickson,Developed Markets,DM - Americas,Utilities,1,10.7096,8.0254,2.6842,71.9407,50.99,,7.6492,3.6199,,5.1758,4.7144,6.3041,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
Hansen-Deleon,Emerging Markets,EM - Americas,Natural Resources,1,11.6515,4.8641,6.7874,-82.3093,20.2571,852.8762,9.9819,1.801,,9.2311,9.7395,8.5884,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
"Anderson, Frazier and Fernandez",Developed Markets,DM - Americas,Natural Resources,0,8.4018,6.4843,1.9175,53.0466,0.0,814.2,35.4656,5.6138,0.0,5.5422,1.5808,6.751,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
Sanders-Fisher,Developed Markets,DM - Asia,Utilities,1,14.111,,,88.8112,28.4908,48.8701,25.693,8.6291,-0.0241,5.896,2.8385,11.3472,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3
"Robinson, Paul and Sanders",Emerging Markets,EM - Americas,Natural Resources,0,11.6515,4.8641,6.7874,-66.3108,33.2829,41.187,28.9343,6.1289,0.0,9.072,6.557,13.9979,13,12,12,3,3,3,3,1,2,1,3,3,3,3,3,3,3
"Irwin, Ortiz and Cooper",Emerging Markets,EM - Asia,Services & Communications,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7253,0.0,5.1332,2.0725,11.4463,12,11,12,2,3,3,3,1,1,3,3,1,3,3,3,3,3
Maxwell-Weaver,Emerging Markets,EM - CEEMEA,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6419,0.0,3.1141,1.2893,3.7824,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3
Mclean LLC,Developed Markets,DM - Europe,Real Estate & Construction,1,13.193,11.9161,1.2769,,8.2502,182.5322,-14.0895,,,,,,9,12,12,1,1,1,3,3,1,3,3,2,3,3,3,3,3
"Stein, Turner and Doyle",Developed Markets,DM - Americas,Generic,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,0.0,0.0,0.0,15,15,12,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Bowen PLC,Emerging Markets,EM - Asia,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1908,0.0,8.8095,1.9436,16.9118,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3
Rice-Collins,Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,100.0,0.0,54.008,30.9987,7.5206,0.1278,6.05,0.7681,8.6611,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
Evans-Kemp,Developed Markets,DM - Americas,Natural Resources,0,10.2455,7.5613,2.6842,5.2147,34.0866,1201.0,14.3733,7.3694,0.0,7.9078,1.4615,8.8762,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
Rogers-Contreras,Emerging Markets,EM - Americas,Utilities,1,11.6515,4.8641,6.7874,-64.9168,32.1317,38.9707,13.4304,4.1714,-0.1424,11.0163,11.0557,10.9588,13,14,15,3,3,1,3,3,3,3,3,2,3,3,5,3,4
Welch-Lang,Emerging Markets,EM - Americas,Services & Communications,1,14.3184,11.152,3.1665,-83.1856,19.5375,195.35,6.4303,14.8186,-4.6039,11.4549,1.634,17.9851,9,10,12,1,3,1,1,3,1,3,3,1,2,3,3,3,3
Holt-White,Developed Markets,DM - Europe,Utilities,0,9.9779,10.1634,-0.1855,-9.9624,45.8934,98.5149,14.4128,10.3175,0.2313,9.0504,0.2911,10.0825,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
"Sparks, Bullock and Warren",Developed Markets,DM - Americas,Natural Resources,1,8.4018,6.4843,1.9175,13.5593,18.1731,121.0,-1.4857,8.5009,4.913,7.9433,2.9051,10.4184,13,12,12,2,2,3,3,3,3,1,3,2,3,3,3,3,3
"Morgan, Lee and Reynolds",Developed Markets,DM - Americas,Natural Resources,1,8.4018,6.4843,1.9175,13.5593,18.1731,121.0,-1.4857,8.5009,4.913,7.9433,2.9051,10.4184,13,12,12,2,2,3,3,3,3,1,3,2,3,3,3,3,3
Anderson-Orozco,Developed Markets,DM - Asia,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8094,0.0,0.0,0.0,0.0,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
Reyes Group,Emerging Markets,EM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
Zamora-Black,Emerging Markets,EM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,0.0,0.0,0.0,13,12,12,3,3,3,3,1,2,1,3,3,3,3,3,3,3
Randall-Chapman,Emerging Markets,EM - Asia,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1556,0.0,2.6612,1.5829,10.8766,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3
Barry and Sons,Developed Markets,DM - Americas,Real Estate & Construction,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8271,0.0,0.0,0.0,0.0,11,9,12,1,3,1,3,3,1,2,2,1,3,3,3,3,3
Mcfarland-Burton,Emerging Markets,EM - Asia,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9979,0.0,8.1909,3.1461,13.7189,14,14,12,3,3,2,3,3,3,3,3,2,3,3,3,3,3
Taylor-Gilbert,Developed Markets,DM - Europe,Real Estate & Construction,0,9.9779,10.1634,-0.1855,-50.7576,24.773,115.3072,6.1759,16.0352,0.963,10.8542,1.5072,15.8002,9,12,12,1,1,1,3,3,1,3,3,2,3,3,3,3,3
Duffy-Lutz,Developed Markets,DM - Americas,Industrials & Transportation,1,8.4018,6.4843,1.9175,94.1232,64.0375,34.937,32.6235,5.3957,-0.1941,6.2411,4.218,8.0799,12,10,13,3,2,2,3,2,1,3,3,1,2,3,3,4,3
"Nguyen, Galvan and Gonzalez",Developed Markets,DM - Americas,Utilities,1,8.4018,6.4843,1.9175,94.1232,64.0375,34.937,32.6235,5.3957,-0.1941,6.2411,4.218,8.0799,13,14,13,3,3,1,3,3,3,3,3,2,3,3,3,4,3
"Cole, Dawson and Torres",Developed Markets,DM - Americas,Natural Resources,0,10.3366,7.7074,2.6293,128.9474,24.6885,2599.0,3.9255,5.5271,0.5666,5.9852,1.2823,7.0339,15,13,12,3,3,3,3,3,3,1,3,3,3,3,3,3,3
Ross-Mcconnell,Developed Markets,DM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,5.862,0.6651,10.018,15,13,12,3,3,3,3,3,3,1,3,3,3,3,3,3,3
Wong-French,Emerging Markets,EM - Asia,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1805,0.0,11.8993,7.6904,13.8165,13,11,12,3,3,3,3,1,1,1,3,3,3,3,3,3,3
Young-Coleman,Developed Markets,DM - Europe,Real Estate & Construction,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3726,0.0,7.7672,1.5729,13.5476,9,9,12,1,1,1,3,3,1,2,2,1,3,3,3,3,3
Rivers-Manning,Developed Markets,DM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,4.8467,1.2111,10.018,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
Castillo Inc,Emerging Markets,EM - Asia,Natural Resources,1,14.111,,,,22.741,810.6102,14.6542,11.3928,,6.1773,2.4396,14.111,13,12,12,3,3,3,3,1,2,1,3,3,3,3,3,3,3
"Taylor, Rodriguez and Taylor",Developed Markets,DM - Asia,"Food, Beverage & Tobacco",0,11.9769,0.0,0.0,-72.4413,89.6675,341.5495,6.2556,8.2312,-0.355,6.4377,1.3938,9.7412,13,11,12,2,2,3,3,3,1,3,3,1,3,3,3,3,3
"Booth, Campbell and May",Developed Markets,DM - Americas,"Retail, Consumer & Healthcare",1,10.3027,7.1592,3.1435,,18.2798,103.297,4.7682,6.9124,,3.6889,3.1394,10.0559,12,11,13,2,3,1,3,3,1,3,3,1,3,3,3,3,4
Lawson-Murphy,Developed Markets,DM - Europe,Real Estate & Construction,0,9.3834,8.5611,0.8224,-38.5714,44.0131,854.1692,16.7526,9.7674,0.1164,8.8511,0.6488,10.5634,9,12,12,1,1,1,3,3,1,3,3,2,3,3,3,3,3
Perez-Munoz,Developed Markets,DM - Americas,Utilities,1,8.4018,6.4843,1.9175,40.8557,44.8924,349.3,12.9709,6.6477,0.5025,7.5139,2.093,8.5652,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3
Kent-King,Developed Markets,DM - Americas,Natural Resources,1,8.4018,6.4843,1.9175,-3.3149,42.8694,132.0,12.8483,6.2798,0.6715,7.2126,1.9118,8.1973,15,12,13,3,3,3,3,3,3,1,3,2,3,3,3,3,4
Thompson-Potter,Emerging Markets,EM - CEEMEA,Services & Communications,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,10,12,1,3,1,1,3,1,3,3,1,2,3,3,3,3
Smith-Medina,Emerging Markets,EM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8792,0.0,0.0,0.0,0.0,13,11,12,3,3,1,3,3,3,1,2,2,3,3,3,3,3
Stephens-Keller,Developed Markets,DM - Europe,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
Giles-Wagner,Emerging Markets,EM - Asia,Real Estate & Construction,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0658,0.0,8.4477,2.7817,15.7868,9,9,12,1,1,1,3,3,1,2,2,1,3,3,3,3,3
"Stanley, Gutierrez and Rodriguez",Developed Markets,DM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,5.6618,1.3667,10.018,15,13,12,3,3,3,3,3,3,1,3,3,3,3,3,3,3
"Carpenter, Wilson and Norton",Emerging Markets,EM - Americas,Natural Resources,1,15.3874,6.1526,9.2348,,12.9707,,8.3353,6.1526,,15.3874,0.0,15.3874,15,13,15,3,3,3,3,3,3,1,3,3,3,4,4,3,4
Jacobs PLC,Developed Markets,DM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,4.8467,1.2111,10.018,13,11,12,3,3,3,3,1,1,1,3,3,3,3,3,3,3
Hensley-Williams,Developed Markets,DM - Europe,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8651,0.0,4.7469,-0.1238,13.6301,15,13,12,3,3,3,3,3,3,1,3,3,3,3,3,3,3
Estrada-Chavez,Developed Markets,DM - Europe,Real Estate & Construction,0,11.1513,10.1508,1.0004,0.0,0.0,0.0,0.0,9.7485,0.0,5.6352,0.8164,10.5445,9,12,12,1,1,1,3,3,1,3,3,2,3,3,3,3,3
Oneill Ltd,Emerging Markets,EM - Asia,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1117,0.0,8.2651,2.1298,11.8327,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3
Kennedy-Martinez,Developed Markets,DM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8792,0.0,0.0,0.0,0.0,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
"Colon, Key and Chavez",Developed Markets,DM - Europe,Services & Communications,0,13.193,11.9161,1.2769,,8.2502,182.5322,-14.0895,,0.0,,,,5,11,12,1,1,1,1,1,1,3,3,1,3,3,3,3,3
Jackson LLC,Developed Markets,DM - Europe,Services & Communications,1,13.193,11.9161,1.2769,,8.2502,182.5322,-14.0895,,,,,,5,11,12,1,1,1,1,1,1,3,3,1,3,3,3,3,3
"Leonard, Clark and Smith",Developed Markets,DM - Asia,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3919,0.0,11.2482,1.6648,14.9019,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
Lyons Ltd,Emerging Markets,EM - CEEMEA,Real Estate & Construction,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6153,0.0,8.2275,6.6154,11.1809,9,12,12,1,1,1,3,3,1,3,3,2,3,3,3,3,3
"Walker, Mendez and Hamilton",Emerging Markets,EM - CEEMEA,"Food, Beverage & Tobacco",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1763,0.0,3.7377,0.9917,4.3151,14,12,12,3,2,3,3,3,2,3,3,1,3,3,3,3,3
Montgomery Ltd,Developed Markets,DM - Europe,Real Estate & Construction,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0752,0.0,13.9639,0.765,14.2502,9,12,12,1,1,1,3,3,1,3,3,2,3,3,3,3,3
Acosta-Martinez,Developed Markets,DM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,4.552,0.6257,10.018,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
"Glass, Hanson and Barnett",Developed Markets,DM - Americas,"Food, Beverage & Tobacco",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,5.3126,0.923,10.018,13,11,12,2,2,3,3,3,1,3,3,1,3,3,3,3,3
"Escobar, Ross and Baker",Developed Markets,DM - Europe,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1949,0.0,0.0,0.0,0.0,15,13,12,3,3,3,3,3,3,1,3,3,3,3,3,3,3
Smith-Everett,Emerging Markets,EM - Asia,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1473,0.0,5.8735,1.4769,10.8683,15,13,12,3,3,3,3,3,3,1,3,3,3,3,3,3,3
Calderon-Harrison,Emerging Markets,EM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3274,0.0,10.6165,5.3339,13.6674,13,11,12,3,3,1,3,3,3,1,2,2,3,3,3,3,3
"Russell, Cunningham and Contreras",Emerging Markets,EM - Americas,Real Estate & Construction,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,3.2585,1.382,10.018,9,12,12,1,1,1,3,3,1,3,3,2,3,3,3,3,3
"Vaughn, Cook and Mckinney",Developed Markets,DM - Asia,Services & Communications,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2165,0.0,4.1208,2.0613,8.9375,5,10,12,1,1,1,1,1,1,4,3,1,1,3,3,3,3
Thomas-Vargas,Developed Markets,DM - Americas,Real Estate & Construction,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,5.6618,1.3667,10.018,9,12,12,1,1,1,3,3,1,3,3,2,3,3,3,3,3
Schultz-Munoz,Developed Markets,DM - Americas,Real Estate & Construction,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,5.4631,0.9723,10.018,9,12,12,1,1,1,3,3,1,3,3,2,3,3,3,3,3
Serrano LLC,Developed Markets,DM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,5.8739,1.2186,10.018,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3
"Snow, Adams and Williams",Developed Markets,DM - Europe,Industrials & Transportation,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8982,0.0,4.9238,0.9503,13.1192,12,10,12,3,2,2,3,2,1,3,3,1,2,3,3,3,3
Phillips-Higgins,Developed Markets,DM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8792,0.0,6.8049,0.9071,10.018,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
"Mccoy, Mills and Stone",Developed Markets,DM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8775,0.0,5.9173,1.2649,10.018,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3
Mendoza-Brown,Developed Markets,DM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,4.98,1.3275,10.018,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
"Phillips, Flynn and Ortega",Developed Markets,DM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8792,0.0,6.0815,1.3747,10.018,13,12,12,3,3,3,3,1,2,1,3,3,3,3,3,3,3
"Arroyo, Mills and Haynes",Developed Markets,DM - Europe,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0236,0.0,5.2494,0.2211,13.3006,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
"Wilson, Hernandez and Evans",Developed Markets,DM - Europe,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0236,0.0,5.2494,0.2211,13.3006,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
Zavala Ltd,Emerging Markets,EM - Americas,Natural Resources,1,,,,85.8824,69.3772,33.779,24.95,4.3679,-0.1648,4.8673,1.4827,7.0521,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
"Martinez, Brown and Nguyen",Developed Markets,DM - Americas,Natural Resources,0,8.4905,6.7147,1.7758,0.0,0.0,0.0,0.0,9.3034,0.0,9.0361,1.0977,10.4422,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
Tapia-Summers,Emerging Markets,EM - Asia,Services & Communications,1,14.111,10.801,3.31,,43.5391,,23.0074,11.3928,,6.3083,1.9691,14.111,9,10,14,1,3,1,1,3,1,3,3,1,2,3,4,3,4
"Collins, Werner and Davidson",Developed Markets,DM - Americas,Utilities,0,8.3929,6.5177,1.8752,0.0,0.0,0.0,0.0,5.3641,0.0,5.3578,1.2207,6.5013,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3
Brewer-Marsh,Developed Markets,DM - Europe,Natural Resources,1,12.3352,10.9847,1.3505,,36.6788,228.1957,4.9756,10.9847,,9.3593,1.3957,12.3352,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
"Wood, Carpenter and Thomas",Emerging Markets,EM - Asia,Natural Resources,1,,,,90.5548,28.8223,307.4378,8.1687,3.0054,-0.8786,3.995,1.2015,4.9229,15,12,13,3,3,3,3,3,3,1,3,2,3,3,4,3,3
Cook Ltd,Developed Markets,DM - Americas,Utilities,1,10.7096,8.0254,2.6842,-32.5,59.7389,,19.9516,7.9926,0.4041,7.2255,4.1182,10.6768,13,14,13,3,3,1,3,3,3,3,3,2,3,3,4,3,3
Fischer-Hodges,Developed Markets,DM - Americas,Services & Communications,1,10.7096,8.0254,2.6842,71.9407,50.99,,7.6492,3.6199,,5.1758,4.7144,6.3041,9,10,12,1,3,1,1,3,1,3,3,1,2,3,3,3,3
Hines PLC,Developed Markets,DM - Americas,Natural Resources,0,8.4018,6.4843,1.9175,0.0,19.55,260.0,3.346,15.2827,0.0,11.7801,1.6748,16.4199,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
"Silva, Carey and Flynn",Emerging Markets,EM - Asia,Utilities,0,9.9702,2.9069,7.0634,-87.2549,0.0,94.76,0.0,4.3159,4.7538,11.6946,7.3528,11.9519,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3
Molina-Wallace,Developed Markets,DM - Americas,Real Estate & Construction,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,5.505,1.4486,10.018,9,9,12,1,1,1,3,3,1,2,2,1,3,3,3,3,3
Flores Group,Developed Markets,DM - Europe,Services & Communications,1,10.6947,10.2269,0.4678,87.5709,,,0.0967,18.047,,5.5749,0.528,18.5148,5,11,13,1,1,1,1,1,1,3,3,1,3,3,4,3,3
Yang-Butler,Developed Markets,DM - Europe,"Food, Beverage & Tobacco",0,11.1513,10.1508,1.0004,0.0,0.0,0.0,0.0,9.7485,0.0,5.6352,0.8164,10.5445,13,13,12,2,2,3,3,3,1,4,3,1,4,3,3,3,3
Winters LLC,Emerging Markets,EM - Americas,Industrials & Transportation,1,13.1911,,,,4.1041,214.853,-2.9883,8.403,,7.2195,5.925,13.1911,12,10,13,3,2,2,3,2,1,3,3,1,2,3,4,3,3
"Perkins, Clark and Parks",Emerging Markets,EM - Asia,Natural Resources,1,10.5264,2.501,8.0254,-18.3886,15.9139,611.308,10.7826,2.501,,8.5357,5.2104,10.5264,15,13,12,3,3,3,3,3,3,1,3,3,3,3,3,3,3
"Huynh, Jackson and Cruz",Developed Markets,DM - Americas,Real Estate & Construction,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,5.9472,1.067,10.018,9,9,12,1,1,1,3,3,1,2,2,1,3,3,3,3,3
Hall-Smith,Developed Markets,DM - Americas,Real Estate & Construction,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,5.8739,1.2186,10.018,9,9,12,1,1,1,3,3,1,2,2,1,3,3,3,3,3
Clark-Conrad,Developed Markets,DM - Europe,Industrials & Transportation,0,11.1513,10.1508,1.0004,0.0,0.0,0.0,0.0,7.4415,0.0,6.0502,1.09,8.2375,11,11,12,3,2,2,3,1,1,3,3,1,3,3,3,3,3
